date,symbol,entry_time,exit_time,outcome,risk_by_percentage,pl_by_rr,pl_by_percentage
1/24/2024,MNQ,9:20:00,9:20:00,LOSS,1.00%,-1.00,-1.00%
11/12/2024,MNQ,9:12:00,10:12:00,WIN,1.00%,1.60,1.60%
11/18/2024,MNQ,9:23:00,10:23:00,LOSS,1.00%,-1.00,-1.00%
11/19/2024,MNQ,9:54:00,10:54:00,WIN,1.00%,0.00,0.00%
11/20/2024,MNQ,9:54:00,10:54:00,BE,1.00%,0.30,0.30%
11/22/2024,MNQ,9:12:00,10:12:00,WIN,1.00%,1.90,1.90%
11/25/2024,MNQ,9:30:00,10:30:00,WIN,1.00%,1.80,1.80%
11/27/2024,MNQ,7:12:00,8:12:00,WIN,1.00%,1.20,1.20%
12/2/2024,MNQ,8:22:00,9:22:00,BE,1.00%,0.10,0.10%
12/3/2024,MNQ,10:21:00,11:21:00,WIN,1.00%,1.90,1.90%
12/5/2024,MNQ,10:01:00,11:01:00,WIN,1.00%,1.60,1.60%
12/9/2024,MNQ,10:12:00,11:12:00,LOSS,1.00%,-1.00,-1.00%
12/10/2024,MNQ,9:35:00,10:35:00,WIN,1.00%,1.80,1.80%
12/11/2024,MNQ,11:23:00,12:23:00,BE,1.00%,0.30,0.30%
12/12/2024,MNQ,10:20:00,11:20:00,WIN,1.00%,1.80,1.80%
12/13/2024,MNQ,8:43:00,9:43:00,BE,1.00%,0.10,0.10%
12/17/2024,MNQ,9:34:00,10:34:00,BE,1.00%,0.00,0.00%
12/20/2024,MNQ,9:20:00,10:20:00,WIN,1.00%,1.80,1.80%
12/23/2024,MNQ,8:45:00,9:45:00,BE,1.00%,0.00,0.00%
12/31/2024,MNQ,9:33:00,10:33:00,WIN,1.00%,1.80,1.80%
12/10/2025,MNQ,9:35:00,9:48:00,LOSS,1.00%,-1.00,-1.00%
1/13/2025,MNQ,8:45:00,8:45:00,BE,1.00%,0.30,0.30%
1/15/2025,MNQ,9:06:00,9:06:00,BE,1.00%,0.10,0.10%
1/16/2025,MNQ,9:24:00,9:24:00,WIN,1.00%,1.70,1.70%
1/20/2025,MNQ,9:21:00,9:21:00,WIN,1.00%,2.10,2.10%
1/22/2025,MNQ,9:48:00,9:48:00,WIN,1.00%,1.10,1.10%
2/11/2025,MNQ,9:30:00,10:30:00,WIN,1.00%,2.00,2.00%
2/12/2025,MNQ,8:56:00,9:56:00,BE,1.00%,0.00,0.00%
2/13/2025,MNQ,9:46:00,10:56:00,BE,1.00%,0.00,0.00%
2/14/2025,MNQ,10:46:00,11:56:00,BE,1.00%,0.00,0.00%
2/18/2025,MNQ,9:12:00,10:12:00,WIN,1.00%,2.10,2.10%
2/20/2025,MNQ,9:30:00,10:30:00,WIN,1.00%,2.00,2.00%
2/25/2025,MNQ,9:35:00,10:35:00,WIN,1.00%,2.00,2.00%
2/27/2025,MNQ,9:31:00,10:31:00,WIN,1.00%,2.00,2.00%
3/3/2025,MNQ,3:10:00,4:10:00,WIN,1.00%,2.00,2.00%
3/4/2025,MNQ,3:05:00,4:05:00,WIN,1.00%,1.20,1.20%
3/12/2025,MNQ,10:10:00,10:43:00,WIN,1.00%,2.00,2.00%
3/13/2025,MNQ,9:35:00,9:55:00,WIN,1.00%,2.40,2.40%
3/14/2025,MNQ,9:30:00,9:45:00,LOSS,1.00%,-1.00,-1.00%
3/19/2025,EURUSD,11:10:00,11:40:00,BE,0.50%,0.00,0.00%
20-03-2025,EURUSD,8:20:00,8:34:00,WIN,0.50%,1.50,0.75%
21-03-2025,EURUSD,9:05:00,10:33:00,WIN,0.50%,1.00,0.50%
25-03-2025,EURUSD,2:10:00,3:54:00,WIN,0.50%,1.00,0.50%
26-03-2025,EURUSD,9:00:00,9:40:00,WIN,1.00%,1.20,1.20%
28-03-2025,EURUSD,8:45:00,9:00:00,WIN,0.50%,1.50,0.75%
4/3/2025,MNQ,8:35:00,8:45:00,BE,0.50%,0.00,0.00%
4/4/2025,MNQ,8:51:00,9:22:00,LOSS,0.50%,-1.00,-0.50%
8/4/2025,EURUSD,9:30:00,10:25:00,WIN,1.00%,2.19,2.19%
9/4/2025,MNQ,9:33:00,9:41:00,WIN,1.00%,1.80,1.80%
11/4/2025,MNQ,8:55:00,9:55:00,LOSS,1.00%,-1.00,-1.00%
13-04-2025,MNQ,8:30:00,9:40:00,BE,1.00%,0.00,0.00%
15-04-2025,MNQ,8:55:00,9:40:00,WIN,1.00%,1.70,1.70%
21-04-2025,MNQ,9:03:00,9:55:00,LOSS,1.00%,-1.00,-1.00%
22-04-2025,MNQ,9:52:00,10:40:00,WIN,1.00%,2.00,2.00%
24-04-2025,MNQ,9:20:00,9:55:00,WIN,1.00%,2.00,2.00%
28-04-2024,EURUSD,3:26:00,3:44:00,LOSS,0.50%,-1.00,-0.50%
28-04-2025,MNQ,8:20:00,9:10:00,BE,1.00%,0.10,0.10%
29-04-2025,MNQ,3:15:00,4:22:00,BE,0.50%,0.00,0.00%
29-04-2025,MNQ,9:40:00,10:33:00,BE,0.50%,0.00,0.00%
