date,symbol,entry_time,entry_exit,risk_by_percentage,outcome,p/l_by_pips,p/l_by_rr,p/l_by_percentage
2025-03-03,EURUSD,09:12:34,10:31:34,1.45%,WIN,180,2.67,0.52%
2025-03-04,BTC,08:47:19,09:56:19,0.92%,LOSS,-120,-1.0,-0.17%
2025-03-05,US30,09:33:50,10:43:50,1.78%,BE,3,0.0,0.29%
2025-03-06,NAS100,08:25:41,09:44:41,0.67%,WIN,90,1.89,0.14%
2025-03-07,EURUSD,09:58:12,10:58:12,1.23%,LOSS,-200,-1.0,0.26%
2025-03-08,BTC,08:39:27,09:48:27,0.88%,BE,-2,0.0,0.56%
2025-03-09,US30,09:14:05,10:34:05,1.56%,WIN,150,2.34,0.03%
2025-03-10,NAS100,08:50:33,10:09:33,0.95%,LOSS,-80,-1.0,0.76%
2025-03-11,EURUSD,09:27:18,10:46:18,1.81%,BE,4,0.0,1.19%
2025-03-12,BTC,08:33:59,09:52:59,1.12%,WIN,210,2.91,1.27%
2025-03-13,NAS100,09:05:42,10:15:42,0.73%,LOSS,-150,-1.0,0.45%
2025-03-14,US30,08:48:21,10:07:21,1.34%,WIN,120,1.95,0.61%
2025-03-15,EURUSD,09:19:36,10:29:36,1.67%,BE,-1,0.0,-0.10%
2025-03-16,BTC,08:55:03,10:14:03,0.59%,WIN,170,2.56,-0.32%
2025-03-17,NAS100,09:41:28,10:51:28,1.09%,LOSS,-90,-1.0,0.34%
2025-03-18,EURUSD,08:22:15,09:41:15,1.92%,BE,2,0.0,1.72%
2025-03-19,US30,09:36:50,10:56:50,0.84%,WIN,130,2.12,-0.79%
2025-03-20,BTC,08:58:37,10:17:37,1.41%,LOSS,-250,-1.0,1.65%
2025-03-21,EURUSD,09:13:04,10:32:04,0.76%,WIN,200,2.78,-0.38%
2025-03-22,NAS100,08:29:19,09:48:19,1.58%,BE,5,0.0,0.73%
2025-03-23,US30,09:44:52,10:54:52,1.25%,LOSS,-110,-1.0,0.14%
2025-03-24,BTC,08:37:26,09:56:26,0.91%,WIN,160,2.45,1.64%
2025-03-25,EURUSD,09:02:13,10:21:13,1.73%,BE,-3,0.0,0.47%
2025-03-26,NAS100,08:46:58,10:05:58,0.68%,WIN,80,1.73,1.56%
2025-03-27,US30,09:28:41,10:48:41,1.39%,LOSS,-130,-1.0,1.30%
2025-03-28,BTC,08:54:06,10:13:06,0.85%,BE,1,0.0,-0.67%
2025-03-29,EURUSD,09:17:32,10:36:32,1.62%,WIN,140,2.19,0.70%
2025-03-30,NAS100,08:31:49,09:50:49,0.97%,LOSS,-170,-1.0,1.23%
2025-03-31,US30,09:43:15,10:53:15,1.84%,BE,0,0.0,-0.94%
2025-04-01,BTC,08:26:58,09:45:58,1.06%,WIN,190,2.63,-0.74%
2025-04-02,EURUSD,09:38:24,10:58:24,0.74%,LOSS,-100,-1.0,1.59%
2025-04-03,NAS100,08:52:01,10:11:01,1.47%,BE,3,0.0,1.14%
2025-04-04,US30,09:09:36,10:29:36,1.91%,WIN,110,1.81,-0.16%
