date,symbol,entry_time,entry_exit,risk_by_percentage,outcome,p/l_by_pips,p/l_by_rr,p/l_by_percentage
2025-03-03,EURUSD,09:12:34,10:31:34,1.45%,WIN,180,2.67,3.87%
2025-03-04,BTC,08:47:19,09:56:19,0.92%,LOSS,-120,-1.0,-0.92%
2025-03-05,US30,09:33:50,10:43:50,1.78%,BE,3,0.0,0.00%
2025-03-06,NAS100,08:25:41,09:44:41,0.67%,WIN,90,1.89,1.27%
2025-03-07,EURUSD,09:58:12,10:58:12,1.23%,LOSS,-200,-1.0,-1.23%
2025-03-10,NAS100,08:50:33,10:09:33,0.95%,LOSS,-80,-1.0,-0.95%
2025-03-11,EURUSD,09:27:18,10:46:18,1.81%,BE,4,0.0,0.00%
2025-03-12,BTC,08:33:59,09:52:59,1.12%,WIN,210,2.91,3.26%
2025-03-13,NAS100,09:05:42,10:15:42,0.73%,LOSS,-150,-1.0,-0.73%
2025-03-14,US30,08:48:21,10:07:21,1.34%,WIN,120,1.95,2.61%
2025-03-17,NAS100,09:41:28,10:51:28,1.09%,LOSS,-90,-1.0,-1.09%
2025-03-18,EURUSD,08:22:15,09:41:15,1.92%,BE,2,0.0,0.00%
2025-03-19,US30,09:36:50,10:56:50,0.84%,WIN,130,2.12,1.78%
2025-03-20,BTC,08:58:37,10:17:37,1.41%,LOSS,-250,-1.0,-1.41%
2025-03-21,EURUSD,09:13:04,10:32:04,0.76%,WIN,200,2.78,2.11%
2025-03-24,BTC,08:37:26,09:56:26,0.91%,WIN,160,2.45,2.23%
2025-03-25,EURUSD,09:02:13,10:21:13,1.73%,BE,-3,0.0,0.00%
2025-03-26,NAS100,08:46:58,10:05:58,0.68%,WIN,80,1.73,1.18%
2025-03-27,US30,09:28:41,10:48:41,1.39%,LOSS,-130,-1.0,-1.39%
2025-03-28,BTC,08:54:06,10:13:06,0.85%,BE,1,0.0,0.00%
2025-03-31,US30,09:43:15,10:53:15,1.84%,BE,0,0.0,0.00%
2025-04-01,BTC,08:26:58,09:45:58,1.06%,WIN,190,2.63,2.79%
2025-04-02,EURUSD,09:38:24,10:58:24,0.74%,LOSS,-100,-1.0,-0.74%
2025-04-07,NAS100,08:57:43,10:16:43,0.95%,WIN,150,2.38,2.26%
2025-04-08,US30,09:21:09,10:41:09,1.63%,LOSS,-140,-1.0,-1.63%
2025-04-09,BTC,08:43:56,10:02:56,1.17%,BE,2,0.0,0.00%
2025-04-14,EURUSD,09:32:05,10:52:05,1.36%,LOSS,-160,-1.0,-1.36%
2025-04-15,NAS100,08:44:51,10:03:51,1.01%,BE,4,0.0,0.00%
2025-04-16,US30,09:16:27,10:36:27,1.74%,WIN,130,1.92,3.34%
2025-04-17,BTC,08:59:13,10:18:13,0.87%,LOSS,-180,-1.0,-0.87%
2025-04-18,EURUSD,09:23:48,10:43:48,1.49%,BE,0,0.0,0.00%
2025-04-21,BTC,08:51:16,10:10:16,1.13%,BE,3,0.0,0.00%
2025-04-22,EURUSD,09:08:52,10:28:52,0.94%,WIN,160,2.72,2.56%
2025-04-23,NAS100,08:40:27,09:59:27,1.68%,LOSS,-200,-1.0,-1.68%
2025-04-24,US30,09:54:03,10:54:03,0.81%,BE,-2,0.0,0.00%
2025-04-25,BTC,08:29:38,09:48:38,1.57%,WIN,140,2.19,3.44%
2025-04-28,US30,09:12:35,10:32:35,1.71%,WIN,180,2.45,4.19%
2025-04-29,BTC,08:56:01,10:15:01,0.83%,LOSS,-110,-1.0,-0.83%
2025-04-30,EURUSD,09:20:46,10:40:46,1.46%,BE,5,0.0,0.00%
2025-05-01,NAS100,08:33:12,09:52:12,1.09%,WIN,120,1.81,1.97%
2025-05-02,US30,09:45:47,10:55:47,1.83%,LOSS,-170,-1.0,-1.83%
2025-05-05,NAS100,08:41:34,10:00:34,0.78%,LOSS,-130,-1.0,-0.78%
2025-05-06,US30,09:54:10,10:54:10,1.35%,BE,2,0.0,0.00%
2025-05-07,BTC,08:26:45,09:45:45,1.87%,WIN,190,2.63,4.92%
2025-05-08,EURUSD,09:38:21,10:58:21,0.91%,LOSS,-90,-1.0,-0.91%
2025-05-09,NAS100,08:50:56,10:09:56,1.54%,BE,-1,0.0,0.00%
2025-05-12,EURUSD,09:59:43,10:59:43,0.84%,BE,4,0.0,0.00%
2025-05-13,NAS100,08:32:18,09:51:18,1.48%,WIN,170,2.56,3.79%
2025-05-14,US30,09:05:54,10:25:54,1.21%,LOSS,-150,-1.0,-1.21%
2025-05-15,BTC,08:49:29,10:08:29,0.97%,BE,0,0.0,0.00%
2025-05-16,EURUSD,09:17:05,10:37:05,1.73%,WIN,130,2.12,3.67%
2025-05-19,BTC,08:28:01,09:47:01,1.12%,WIN,200,2.78,3.11%
2025-05-20,EURUSD,09:36:47,10:56:47,0.94%,LOSS,-120,-1.0,-0.94%
2025-05-21,NAS100,08:58:13,10:17:13,1.66%,BE,-2,0.0,0.00%
2025-05-22,US30,09:11:58,10:31:58,1.38%,WIN,140,2.19,3.02%
2025-05-26,US30,09:23:21,10:43:21,0.96%,LOSS,-110,-1.0,-0.96%
2025-05-27,BTC,08:55:56,10:14:56,1.29%,BE,5,0.0,0.00%
2025-05-28,EURUSD,09:18:32,10:38:32,1.72%,WIN,120,1.81,3.11%
2025-05-29,NAS100,08:31:07,09:50:07,0.88%,LOSS,-170,-1.0,-0.88%
2025-05-30,US30,09:43:43,10:53:43,1.55%,BE,-3,0.0,0.00%
2025-06-02,NAS100,08:42:29,10:01:29,0.93%,BE,2,0.0,0.00%
2025-06-03,US30,09:15:05,10:35:05,1.64%,WIN,190,2.63,4.31%
2025-06-04,BTC,08:47:50,10:06:50,1.26%,LOSS,-90,-1.0,-1.26%
2025-06-05,EURUSD,09:59:26,10:59:26,0.89%,BE,-1,0.0,0.00%
2025-06-06,NAS100,08:34:01,09:53:01,1.53%,WIN,110,1.95,2.98%
2025-06-09,EURUSD,09:12:58,10:32:58,0.95%,WIN,170,2.56,2.43%
2025-06-10,NAS100,08:45:34,10:04:34,1.67%,LOSS,-150,-1.0,-1.67%
2025-06-11,US30,09:58:09,10:58:09,1.39%,BE,0,0.0,0.00%
2025-06-12,BTC,08:31:45,09:50:45,1.02%,WIN,130,2.12,2.16%
