date,DoW,symbol,entry_time,entry_exit,risk_by_contract,risk_by_percentage,outcome,p/l_by_rr,p/l_by_percentage
2025-12-09,tuesday,MNQ,3:21:00,3:56:00,1,1.00%,BE,0.0,0.00%
2025-12-10,wednesday,MNQ,9:35:00,9:48:00,1,1.00%,LOSS,-1.0,-1.00%
2025-01-13,monday,MNQ,8:45:00,8:45:00,1,1.00%,BE,0.3,0.00%
2025-01-15,wednesday,MNQ,9:06:00,9:06:00,1,1.00%,BE,0.1,0.00%
2025-01-16,thursday,MNQ,9:24:00,9:24:00,1,1.00%,WIN,1.7,1.70%
2025-01-20,monday,MNQ,9:21:00,9:21:00,1,1.00%,WIN,2.1,2.10%
2025-01-22,wednesday,MNQ,9:48:00,9:48:00,1,1.00%,WIN,1.1,1.10%
2024-01-24,wednesday,MNQ,9:20:00,9:20:00,1,1.00%,LOSS,-1.0,-1.00%
2025-02-11,tuesday,MNQ,9:30:00,10:30:00,1,1.00%,WIN,2.0,2.00%
2025-02-12,wednesday,MNQ,8:56:00,9:56:00,1,1.00%,BE,0.0,0.00%
2025-02-13,thursday,MNQ,9:46:00,10:56:00,1,1.00%,BE,0.0,0.00%
2025-02-14,friday,MNQ,10:46:00,11:56:00,1,1.00%,BE,0.0,0.00%
2025-02-18,tuesday,MNQ,9:12:00,10:12:00,1,1.00%,WIN,2.1,2.10%
2025-02-20,thursday,MNQ,9:30:00,10:30:00,1,1.00%,WIN,2.0,2.00%
2025-02-25,tuesday,MNQ,9:35:00,10:35:00,1,1.00%,WIN,2.0,2.00%
2025-02-27,thursday,MNQ,9:31:00,10:31:00,1,1.00%,WIN,2.0,2.00%
2025-03-03,monday,MNQ,3:10:00,4:10:00,1,1.00%,WIN,2.0,2.00%
2025-03-04,tuesday,MNQ,3:05:00,4:05:00,1,1.00%,WIN,1.2,1.20%
