date,symbol,entry_time,entry_exit,outcome,risk_by_percentage,pl_by_rr,pl_by_percentage,peak,drawdown,DoW
12-10-2025,MNQ,9:35:00,9:48:00,LOSS,1.00%,-1.0,-1.00%,-1.0,-0.0,wednesday
01-13-2025,MNQ,8:45:00,8:45:00,BE,1.00%,0.3,0.30%,0.3,0.0,monday
01-15-2025,MNQ,9:06:00,9:06:00,BE,1.00%,0.1,0.10%,0.3,0.6666666666666666,wednesday
01-16-2025,MNQ,9:24:00,9:24:00,WIN,1.00%,1.7,1.70%,1.7,0.0,thursday
01-20-2025,MNQ,9:21:00,9:21:00,WIN,1.00%,2.1,2.10%,2.1,0.0,monday
01-22-2025,MNQ,9:48:00,9:48:00,WIN,1.00%,1.1,1.10%,2.1,0.47619047619047616,wednesday
01-24-2024,MNQ,9:20:00,9:20:00,LOSS,1.00%,-1.0,-1.00%,2.1,1.4761904761904763,wednesday
02-11-2025,MNQ,9:30:00,10:30:00,WIN,1.00%,2.0,2.00%,2.1,0.04761904761904766,tuesday
02-12-2025,MNQ,8:56:00,9:56:00,BE,1.00%,0.0,0.00%,2.1,1.0,wednesday
02-13-2025,MNQ,9:46:00,10:56:00,BE,1.00%,0.0,0.00%,2.1,1.0,thursday
02-14-2025,MNQ,10:46:00,11:56:00,BE,1.00%,0.0,0.00%,2.1,1.0,friday
02-18-2025,MNQ,9:12:00,10:12:00,WIN,1.00%,2.1,2.10%,2.1,0.0,tuesday
02-20-2025,MNQ,9:30:00,10:30:00,WIN,1.00%,2.0,2.00%,2.1,0.04761904761904766,thursday
02-25-2025,MNQ,9:35:00,10:35:00,WIN,1.00%,2.0,2.00%,2.1,0.04761904761904766,tuesday
02-27-2025,MNQ,9:31:00,10:31:00,WIN,1.00%,2.0,2.00%,2.1,0.04761904761904766,thursday
03-03-2025,MNQ,3:10:00,4:10:00,WIN,1.00%,2.0,2.00%,2.1,0.04761904761904766,monday
03-04-2025,MNQ,3:05:00,4:05:00,WIN,1.00%,1.2,1.20%,2.1,0.4285714285714286,tuesday
11-12-2024,MNQ,9:12:00,10:12:00,WIN,1.00%,1.6,1.60%,2.1,0.23809523809523808,tuesday
11-18-2024,MNQ,9:23:00,10:23:00,LOSS,1.00%,-1.0,-1.00%,2.1,1.4761904761904763,monday
11-19-2024,MNQ,9:54:00,10:54:00,WIN,1.00%,0.0,0.00%,2.1,1.0,tuesday
11-20-2024,MNQ,9:54:00,10:54:00,BE,1.00%,0.3,0.30%,2.1,0.8571428571428571,wednesday
11-23-2024,MNQ,9:12:00,10:12:00,WIN,1.00%,1.9,1.90%,2.1,0.09523809523809532,saturday
11-25-2024,MNQ,9:30:00,10:30:00,WIN,1.00%,1.8,1.80%,2.1,0.14285714285714288,monday
11-27-2024,MNQ,7:12:00,8:12:00,WIN,1.00%,1.2,1.20%,2.1,0.4285714285714286,wednesday
12-02-2024,MNQ,8:22:00,9:22:00,BE,1.00%,0.1,0.10%,2.1,0.9523809523809523,monday
12-03-2024,MNQ,10:21:00,11:21:00,WIN,1.00%,1.9,1.90%,2.1,0.09523809523809532,tuesday
12-05-2024,MNQ,10:01:00,11:01:00,WIN,1.00%,1.6,1.60%,2.1,0.23809523809523808,thursday
12-09-2024,MNQ,10:12:00,11:12:00,LOSS,1.00%,-1.0,-1.00%,2.1,1.4761904761904763,monday
12-10-2024,MNQ,9:35:00,10:35:00,WIN,1.00%,1.8,1.80%,2.1,0.14285714285714288,tuesday
12-11-2024,MNQ,11:23:00,12:23:00,BE,1.00%,0.3,0.30%,2.1,0.8571428571428571,wednesday
12-12-2024,MNQ,10:20:00,11:20:00,WIN,1.00%,1.8,1.80%,2.1,0.14285714285714288,thursday
12-13-2024,MNQ,8:43:00,9:43:00,BE,1.00%,0.1,0.10%,2.1,0.9523809523809523,friday
12-17-2024,MNQ,9:34:00,10:34:00,BE,1.00%,0.0,0.00%,2.1,1.0,tuesday
12-20-2024,MNQ,9:20:00,10:20:00,WIN,1.00%,1.8,1.80%,2.1,0.14285714285714288,friday
12-23-2024,MNQ,8:45:00,9:45:00,BE,1.00%,0.0,0.00%,2.1,1.0,monday
12-31-2024,MNQ,9:33:00,10:33:00,WIN,1.00%,1.8,1.80%,2.1,0.14285714285714288,tuesday
