date,symbol,entry_time,entry_exit,risk_by_percentage,outcome,p/l_by_pips,p/l_by_rr,p/l_by_percentage
03-03-25,EURUSD,09:12:34,10:31:34,1.45%,WIN,180,2.67,3.87%
04-03-25,BTC,08:47:19,09:56:19,0.92%,LOSS,-120,-1.0,-0.92%
05-03-25,US30,09:33:50,10:43:50,1.78%,BE,3,0.0,0.00%
06-03-25,NAS100,08:25:41,09:44:41,0.67%,WIN,90,1.89,1.27%
07-03-25,EURUSD,09:58:12,10:58:12,1.23%,LOSS,-200,-1.0,-1.23%
08-03-25,BTC,08:39:27,09:48:27,0.88%,BE,-2,0.0,0.00%
09-03-25,US30,09:14:05,10:34:05,1.56%,WIN,150,2.34,3.65%
10-03-25,NAS100,08:50:33,10:09:33,0.95%,LOSS,-80,-1.0,-0.95%
11-03-25,EURUSD,09:27:18,10:46:18,1.81%,BE,4,0.0,0.00%
12-03-25,BTC,08:33:59,09:52:59,1.12%,WIN,210,2.91,3.26%
13-03-25,NAS100,09:05:42,10:15:42,0.73%,LOSS,-150,-1.0,-0.73%
14-03-25,US30,08:48:21,10:07:21,1.34%,WIN,120,1.95,2.61%
15-03-25,EURUSD,09:19:36,10:29:36,1.67%,BE,-1,0.0,0.00%
16-03-25,BTC,08:55:03,10:14:03,0.59%,WIN,170,2.56,1.51%
17-03-25,NAS100,09:41:28,10:51:28,1.09%,LOSS,-90,-1.0,-1.09%
18-03-25,EURUSD,08:22:15,09:41:15,1.92%,BE,2,0.0,0.00%
19-03-25,US30,09:36:50,10:56:50,0.84%,WIN,130,2.12,1.78%
20-03-25,BTC,08:58:37,10:17:37,1.41%,LOSS,-250,-1.0,-1.41%
21-03-25,EURUSD,09:13:04,10:32:04,0.76%,WIN,200,2.78,2.11%
22-03-25,NAS100,08:29:19,09:48:19,1.58%,BE,5,0.0,0.00%
23-03-25,US30,09:44:52,10:54:52,1.25%,LOSS,-110,-1.0,-1.25%
24-03-25,BTC,08:37:26,09:56:26,0.91%,WIN,160,2.45,2.23%
25-03-25,EURUSD,09:02:13,10:21:13,1.73%,BE,-3,0.0,0.00%
26-03-25,NAS100,08:46:58,10:05:58,0.68%,WIN,80,1.73,1.18%
27-03-25,US30,09:28:41,10:48:41,1.39%,LOSS,-130,-1.0,-1.39%
28-03-25,BTC,08:54:06,10:13:06,0.85%,BE,1,0.0,0.00%
29-03-25,EURUSD,09:17:32,10:36:32,1.62%,WIN,140,2.19,3.55%
30-03-25,NAS100,08:31:49,09:50:49,0.97%,LOSS,-170,-1.0,-0.97%
31-03-25,US30,09:43:15,10:53:15,1.84%,BE,0,0.0,0.00%
01-04-25,BTC,08:26:58,09:45:58,1.06%,WIN,190,2.63,2.79%
02-04-25,EURUSD,09:38:24,10:58:24,0.74%,LOSS,-100,-1.0,-0.74%
03-04-25,NAS100,08:52:01,10:11:01,1.47%,BE,3,0.0,0.00%
04-04-25,US30,09:09:36,10:29:36,1.91%,WIN,110,1.81,3.46%
05-04-25,BTC,08:34:52,09:53:52,0.82%,LOSS,-220,-1.0,-0.82%
06-04-25,EURUSD,09:46:18,10:56:18,1.28%,BE,-4,0.0,0.00%
07-04-25,NAS100,08:57:43,10:16:43,0.95%,WIN,150,2.38,2.26%
08-04-25,US30,09:21:09,10:41:09,1.63%,LOSS,-140,-1.0,-1.63%
